artist_name	nb_artworks	artist_url	date_of_birth	date_of_death	desc	movements	mediums
Vincent van Gogh	347	https://artsandculture.google.com/entity/vincent-van-gogh/m07_m2?categoryId=artist	1853-03-30	1890-07-29	"Vincent Willem van Gogh was a Dutch Post-Impressionist painter who posthumously became one of the most famous and influential figures in Western art history. In a decade, he created about 2,100 artworks, including around 860 oil paintings, most of which date from the last two years of his life. They include landscapes, still lifes, portraits and self-portraits, and are characterised by bold colours and dramatic, impulsive and expressive brushwork that contributed to the foundations of modern art. Not commercially successful, he struggled with severe depression and poverty, eventually leading to his suicide at age thirty-seven.
Born into an upper-middle-class family, Van Gogh drew as a child and was serious, quiet, and thoughtful. As a young man, he worked as an art dealer, often traveling, but became depressed after he was transferred to London. He turned to religion and spent time as a Protestant missionary in southern Belgium. He drifted in ill health and solitude before taking up painting in 1881, having moved back home with his parents. His younger brother Theo supported him financially, and the two kept a long correspondence by letter."	['Post-Impressionism', 'Modern art', 'Neo-Impressionism', 'Realism', 'Japonisme', 'Impressionism']	['Oil paint', 'Drawing', 'Ink', 'Pen', 'Graphite', 'Metal']
Claude Monet	289	https://artsandculture.google.com/entity/claude-monet/m01xnj?categoryId=artist	1840-11-14	1926-12-5	"Oscar-Claude Monet was a French painter and founder of impressionist painting who is seen as a key precursor to modernism, especially in his attempts to paint nature as he perceived it. During his long career, he was the most consistent and prolific practitioner of impressionism's philosophy of expressing one's perceptions before nature, especially as applied to plein air landscape painting. The term ""Impressionism"" is derived from the title of his painting Impression, soleil levant, exhibited in the 1874 Salon des Refusés initiated by Monet and his associates as an alternative to the Salon.
Monet was raised in Le Havre, Normandy, and became interested in the outdoors and drawing from an early age. Although his mother, Louise-Justine Aubrée Monet, supported his ambitions to be a painter, his father, Claude-Adolphe, disapproved and wanted him to pursue a career in business. He was very close to his mother, but she died in January 1857 when he was sixteen years old, and he was sent to live with his childless, widowed but wealthy aunt, Marie-Jeanne Lecadre."	['Modern art', 'Impressionism']	['Oil paint', 'Textile', 'Laid paper', 'Vellum', 'Chalk', 'Pigment']
Banksy	44	https://artsandculture.google.com/entity/banksy/m023b7b?categoryId=artist			"Banksy is a pseudonymous England-based street artist, political activist, and film director whose real name and identity remain unconfirmed and the subject of speculation. Active since the 1990s, his satirical street art and subversive epigrams combine dark humour with graffiti executed in a distinctive stenciling technique. His works of political and social commentary have appeared on streets, walls, and bridges throughout the world. Banksy's work grew out of the Bristol underground scene, which involved collaborations between artists and musicians. Banksy says that he was inspired by 3D, a graffiti artist and founding member of the musical group Massive Attack.
Banksy displays his art on publicly visible surfaces such as walls and self-built physical prop pieces. Banksy no longer sells photographs or reproductions of his street graffiti, but his public ""installations"" are regularly resold, often even by removing the wall they were painted on. A small number of Banksy's works are officially, non-publicly, sold through an agency created by Banksy named Pest Control. Banksy's documentary film Exit Through the Gift Shop made its debut at the 2010 Sundance Film Festival."	['Street art']	['Spray painting']
Rembrandt	1290	https://artsandculture.google.com/entity/rembrandt/m0bskv2?categoryId=artist	1606-07-15	1669-10-4	Rembrandt Harmenszoon van Rijn, usually simply known as Rembrandt, was a Dutch Golden Age painter, printmaker and draughtsman. An innovative and prolific master in three media, he is generally considered one of the greatest visual artists in the history of art and the most important in Dutch art history. Unlike most Dutch masters of the 17th century, Rembrandt's works depict a wide range of style and subject matter, from portraits and self-portraits to landscapes, genre scenes, allegorical and historical scenes, and biblical and mythological themes as well as animal studies. His contributions to art came in a period of great wealth and cultural achievement that historians call the Dutch Golden Age, when Dutch art, although in many ways antithetical to the Baroque style that dominated Europe, was extremely prolific and innovative and gave rise to important new genres. Like many artists of the Dutch Golden Age, such as Jan Vermeer of Delft, Rembrandt was also an avid art collector and dealer.	['Baroque', 'Dutch Golden Age']	['Etching', 'Oil paint', 'Engraving', 'Ink', 'Laid paper', 'Pen']
Raphael	80	https://artsandculture.google.com/entity/raphael/m0c43g?categoryId=artist	1483	1520-04-6	"Raffaello Sanzio da Urbino, known as Raphael, was an Italian painter and architect of the High Renaissance. His work is admired for its clarity of form, ease of composition, and visual achievement of the Neoplatonic ideal of human grandeur. Together with Michelangelo and Leonardo da Vinci, he forms the traditional trinity of great masters of that period.
Raphael was enormously productive, running an unusually large workshop and, despite his early death at 37, leaving a large body of work. Many of his works are found in the Vatican Palace, where the frescoed Raphael Rooms were the central, and the largest, work of his career. The best known work is The School of Athens in the Vatican Stanza della Segnatura. After his early years in Rome, much of his work was executed by his workshop from his drawings, with considerable loss of quality. He was extremely influential in his lifetime, though outside Rome his work was mostly known from his collaborative printmaking.
After his death, the influence of his great rival Michelangelo was more widespread until the 18th and 19th centuries, when Raphael's more serene and harmonious qualities were again regarded as the highest models."	['Renaissance', 'Italian Renaissance', 'High Renaissance']	['Oil paint', 'Pigment', 'Drawing', 'Chalk', 'Ink', 'Engraving']
Paul Cézanne	242	https://artsandculture.google.com/entity/paul-c%C3%A9zanne/m063mx?categoryId=artist	1839-01-19	1906-10-22	"Paul Cézanne was a French artist and Post-Impressionist painter whose work laid the foundations of the transition from the 19th-century conception of artistic endeavour to a new and radically different world of art in the 20th century.
Cézanne is said to have formed the bridge between late 19th-century Impressionism and the early 20th century's new line of artistic enquiry, Cubism. Cézanne's often repetitive, exploratory brushstrokes are highly characteristic and clearly recognizable. He used planes of colour and small brushstrokes that build up to form complex fields. The paintings convey Cézanne's intense study of his subjects. Both Matisse and Picasso are said to have remarked that Cézanne ""is the father of us all""."	['Modern art', 'Post-Impressionism', 'Impressionism', 'Cubism']	['Oil paint', 'Drawing', 'Graphite', 'Watercolor painting', 'Pencil', 'Laid paper']
Albrecht Dürer	2060	https://artsandculture.google.com/entity/albrecht-d%C3%BCrer/m0z6n?categoryId=artist	1471-05-21	1528-04-6	"Albrecht Dürer, sometimes spelled in English as Durer or Duerer, was a German painter, printmaker, and theorist of the German Renaissance. Born in Nuremberg, Dürer established his reputation and influence across Europe in his twenties due to his high-quality woodcut prints. He was in contact with the major Italian artists of his time, including Raphael, Giovanni Bellini, and Leonardo da Vinci, and from 1512 was patronized by Emperor Maximilian I.
Dürer's vast body of work includes engravings, his preferred technique in his later prints, altarpieces, portraits and self-portraits, watercolours and books. The woodcuts series are more Gothic than the rest of his work. His well-known engravings include the three Meisterstiche Knight, Death and the Devil, Saint Jerome in his Study, and Melencolia I. His watercolours mark him as one of the first European landscape artists, while his woodcuts revolutionised the potential of that medium.
Dürer's introduction of classical motifs into Northern art, through his knowledge of Italian artists and German humanists, has secured his reputation as one of the most important figures of the Northern Renaissance."	['Northern Renaissance', 'Renaissance', 'German Renaissance', 'Gothic art', 'High Renaissance', 'Italian Renaissance']	['Engraving', 'Laid paper', 'Ink', 'Drawing', 'Etching', 'Pen']
Paul Gauguin	404	https://artsandculture.google.com/entity/paul-gauguin/m0h82x?categoryId=artist	1848-06-7	1903-05-8	"Eugène Henri Paul Gauguin was a French Post-Impressionist artist. Unappreciated until after his death, Gauguin is now recognized for his experimental use of color and Synthetist style that were distinct from Impressionism. Toward the end of his life, he spent ten years in French Polynesia. The paintings from this time depict people or landscapes from that region.
His work was influential on the French avant-garde and many modern artists, such as Pablo Picasso and Henri Matisse, and he is well known for his relationship with Vincent and Theo van Gogh. Gauguin's art became popular after his death, partially from the efforts of dealer Ambroise Vollard, who organized exhibitions of his work late in his career and assisted in organizing two important posthumous exhibitions in Paris.
Gauguin was an important figure in the Symbolist movement as a painter, sculptor, printmaker, ceramist, and writer. His expression of the inherent meaning of the subjects in his paintings, under the influence of the cloisonnist style, paved the way for Primitivism and the return to the pastoral. He was also an influential proponent of wood engraving and woodcuts as art forms."	['Modern art', 'Post-Impressionism', 'Synthetism', 'Symbolism', 'Primitivism', 'Academic art']	['Oil paint', 'Graphite', 'Ink', 'Metal', 'Pencil', 'Zinc']
Gustav Klimt	555	https://artsandculture.google.com/entity/gustav-klimt/m03869?categoryId=artist	1862-07-14	1918-02-6	"Gustav Klimt was an Austrian symbolist painter and one of the most prominent members of the Vienna Secession movement. Klimt is noted for his paintings, murals, sketches, and other Objects d'art. Klimt's primary subject was the female body, and his works are marked by a frank eroticism. Amongst his figurative works, which include allegories and portraits, he painted landscapes. Among the artists of the Vienna Secession, Klimt was the most influenced by Japanese art and its methods.
Early in his artistic career, he was a successful painter of architectural decorations in a conventional manner. As he began to develop a more personal style, his work was the subject of controversy that culminated when the paintings he completed around 1900 for the ceiling of the Great Hall of the University of Vienna were criticized as pornographic. He subsequently accepted no more public commissions, but achieved a new success with the paintings of his ""golden phase"", many of which include gold leaf. Klimt's work was an important influence on his younger peer Egon Schiele."	['Modern art', 'Art Nouveau', 'Symbolism']	['Drawing', 'Pencil', 'Chalk', 'Pigment', 'Oil paint', 'Graphite']
Francisco Goya	1080	https://artsandculture.google.com/entity/francisco-goya/m02y23?categoryId=artist	1746-03-30	1828-04-16	"Francisco José de Goya y Lucientes was a Spanish romantic painter and printmaker. He is considered the most important Spanish artist of the late 18th and early 19th centuries. His paintings, drawings, and engravings reflected contemporary historical upheavals and influenced important 19th- and 20th-century painters. Goya is often referred to as the last of the Old Masters and the first of the moderns.
Goya was born to a middle-class family in 1746, in Fuendetodos in Aragon. He studied painting from age 14 under José Luzán y Martinez and moved to Madrid to study with Anton Raphael Mengs. He married Josefa Bayeu in 1773. Their life was characterised by a series of pregnancies and miscarriages, and only one child, a son, survived into adulthood. Goya became a court painter to the Spanish Crown in 1786 and this early portion of his career is marked by portraits of the Spanish aristocracy and royalty, and Rococo-style tapestry cartoons designed for the royal palace.
He was guarded, and although letters and writings survive, little is known about his thoughts."	['Romanticism', 'Rococo', 'Renaissance']	['Etching', 'Oil paint', 'Drawing', 'Laid paper', 'Ink', 'Engraving']
