,probability
Canaletto,0.04441255331039429
George Stubbs,0.042909570038318634
Karl Friedrich Schinkel,0.04254521429538727
Santiago Rusiñol,0.04216700792312622
Fernando Botero,0.02581198886036873
Bertel Thorvaldsen,0.023297669366002083
Walker Evans,0.02207205630838871
Kenny Scharf,0.020423347130417824
Hieronymus Bosch,0.019677480682730675
Charles Willson Peale,0.019549446180462837
Gim Hongdo,0.01943999156355858
Norman Rockwell,0.016580862924456596
Henri Rousseau,0.01650671660900116
Alfred Eisenstaedt,0.015021382831037045
Félix Vallotton,0.014453590847551823
Giorgio de Chirico,0.014284779317677021
Jean-Léon Gérôme,0.013039442710578442
Yokoyama Taikan,0.012587927281856537
Claude Lorrain,0.011839514598250389
Johan Christian Dahl,0.011829672381281853
Albert Bierstadt,0.011667326092720032
Hiroshi Yoshida,0.011303680017590523
Nicholas Roerich,0.011132624931633472
Frederic Edwin Church,0.010630492120981216
Childe Hassam,0.010324227623641491
Diego Rivera,0.010000213980674744
L. S. Lowry,0.009154805913567543
Giovanni Bellini,0.008156687021255493
Georges Seurat,0.00794336386024952
Harunobu Suzuki,0.00761415297165513
Alessandro Mendini,0.007584711071103811
Gordon Parks,0.007557051256299019
Osamu Tezuka,0.007490071933716536
Toyohara Chikanobu,0.007114900276064873
Max Klinger,0.007000915240496397
Alfred Stieglitz,0.006896571256220341
José Guadalupe Posada,0.0063513461500406265
Graciela Iturbide,0.006340664345771074
Ogata Kenzan,0.006294810678809881
Duchenne de Boulogne,0.006060137879103422
Vincent van Gogh,0.005853013601154089
August Macke,0.005850523244589567
Pieter Bruegel the Elder,0.005739147309213877
Jacob van Ruisdael,0.005651877727359533
Michael Ancher,0.005639798939228058
Lucas Cranach the Elder,0.005342869088053703
Marcel Broodthaers,0.005339140072464943
Peder Severin Krøyer,0.005256175063550472
Yue Minjun,0.0050404672510921955
Albrecht Altdorfer,0.0049813310615718365
Hiroshige,0.004961015190929174
Jean-Honoré Fragonard,0.00489841029047966
Eugène Atget,0.004831885453313589
Louis Comfort Tiffany,0.004727775231003761
Odilon Redon,0.004624533001333475
Winslow Homer,0.004606971982866526
Andrea Mantegna,0.004600968677550554
Kobayashi Kiyochika,0.00456441193819046
Joseph Wright of Derby,0.004509326536208391
Paul Signac,0.004477673210203648
Marcantonio Raimondi,0.004417664837092161
Kara Walker,0.004257089924067259
Bada Shanren,0.004254122264683247
Wassily Kandinsky,0.004205276723951101
Théophile Steinlen,0.0040867989882826805
Nicolas Poussin,0.0040756468661129475
Jan Brueghel the Elder,0.0040739914402365685
Salvador Dalí,0.003967984113842249
Wenceslaus Hollar,0.003899748669937253
Jan van Eyck,0.0038844284135848284
Douglas Coupland,0.0038539706729352474
Caspar David Friedrich,0.003794207703322172
Joshua Reynolds,0.0037929897662252188
Jeong Seon,0.003752425778657198
Chang Dai-chien,0.00358214951120317
Abraham Bloemaert,0.0035640911664813757
Lorenzo Lotto,0.003473140299320221
Ilya Repin,0.003441903507336974
Gustave Caillebotte,0.0033674025908112526
JR,0.00334926787763834
Camille Pissarro,0.0033346351701766253
Thomas Gainsborough,0.0033058254048228264
Hubert Robert,0.0031949069816619158
Francisco de Zurbarán,0.003176281927153468
Edvard Munch,0.0031526165548712015
George Bellows,0.0030955160036683083
Giotto,0.0030613387934863567
Ramon Casas,0.0030604966450482607
Jamini Roy,0.003032467793673277
Sol LeWitt,0.002912747673690319
Alvar Aalto,0.0028491562698036432
Yoshitoshi,0.002848096890375018
Félicien Rops,0.002757604233920574
John Singleton Copley,0.0026966158766299486
Gustav Klimt,0.002627401612699032
Jean-François Millet,0.0026020915247499943
William Merritt Chase,0.0025799053255468607
Claude Monet,0.002563907764852047
Guido Reni,0.002552343998104334
Maruyama Ōkyo,0.0024889283813536167
Ogata Kōrin,0.0024344029370695353
Frida Kahlo,0.002389427274465561
