,probability
Santiago Rusiñol,0.07881247997283936
Karl Friedrich Schinkel,0.0733395367860794
Henri Rousseau,0.05933161452412605
Fernando Botero,0.046351805329322815
Giorgio de Chirico,0.04190734401345253
Alessandro Mendini,0.03369377553462982
Félix Vallotton,0.03278346359729767
Bertel Thorvaldsen,0.026365341618657112
George Stubbs,0.025249961763620377
Kenny Scharf,0.025072576478123665
Nicholas Roerich,0.024810191243886948
Charles Willson Peale,0.01932702772319317
Gim Hongdo,0.018346495926380157
Yokoyama Taikan,0.01799553446471691
Canaletto,0.017915742471814156
Jean-Léon Gérôme,0.015287199057638645
Edward Hopper,0.011890260502696037
Ogata Kenzan,0.011883556842803955
Osamu Tezuka,0.011815844103693962
Marcel Broodthaers,0.01179441437125206
Johan Christian Dahl,0.011618142016232014
Max Klinger,0.011546790599822998
Kobayashi Kiyochika,0.011069299653172493
Salvador Dalí,0.010796990245580673
Jamini Roy,0.010481417179107666
Hieronymus Bosch,0.010196734219789505
Harunobu Suzuki,0.008312441408634186
Norman Rockwell,0.008071311749517918
Alfred Eisenstaedt,0.006994269322603941
Michael Ancher,0.006965085864067078
Albert Bierstadt,0.0065252031199634075
Hiroshige,0.00596383772790432
Yoshitoshi,0.005787806585431099
Frederic Edwin Church,0.005692045204341412
Toyohara Chikanobu,0.0056455968879163265
Yue Minjun,0.005435191094875336
Georgia O'Keeffe,0.004996090196073055
Diego Rivera,0.004972325637936592
Alfred Stieglitz,0.004839552566409111
August Macke,0.004816070199012756
Walker Evans,0.0047607808373868465
Georges Seurat,0.004731672815978527
Marcantonio Raimondi,0.004672028589993715
Emily Carr,0.004596209619194269
Bada Shanren,0.004495438188314438
Joseph Wright of Derby,0.004290827549993992
JR,0.0042411754839122295
Paul Signac,0.004193514119833708
Douglas Coupland,0.004106150008738041
Jeong Seon,0.00380152091383934
Juan Gris,0.0037953665014356375
Wassily Kandinsky,0.0037686864379793406
Duchenne de Boulogne,0.003737050574272871
Chang Dai-chien,0.0037259235978126526
Alvar Aalto,0.00367374368943274
Giotto,0.003595186397433281
Giovanni Bellini,0.0034749482292681932
Kara Walker,0.003439703956246376
Sol LeWitt,0.00337172020226717
Peder Severin Krøyer,0.003313911845907569
Claude Lorrain,0.0032615195959806442
L. S. Lowry,0.0032568522728979588
Ramon Casas,0.0030317194759845734
Eugène Atget,0.0029618008993566036
Hiroshi Yoshida,0.0029592858627438545
José Guadalupe Posada,0.0028183504473417997
Amrita Sher-Gil,0.0027692075818777084
Edward Burne-Jones,0.0027658024337142706
Itō Jakuchū,0.0027613542042672634
Caspar David Friedrich,0.002744216937571764
John Singleton Copley,0.00272578839212656
Fornasetti,0.0026298523880541325
Gerhard Richter,0.0025839044246822596
Gordon Parks,0.0025526313111186028
Frida Kahlo,0.00252532958984375
Toyohara Kunichika,0.002434958005324006
Lorenzo Lotto,0.002425260841846466
Shitao,0.0023771789856255054
George Romney,0.0023407703265547752
Maruyama Ōkyo,0.002288093790411949
Félicien Rops,0.0022673779167234898
Shepard Fairey,0.0022509710397571325
Graciela Iturbide,0.002192883985117078
Jean-Honoré Fragonard,0.002138423500582576
Ogata Kōrin,0.0020495648495852947
Johannes Vermeer,0.002042370615527034
Victor Vasarely,0.002038369420915842
Qiu Ying,0.0020237290300428867
Lucas Cranach the Elder,0.001849714550189674
Keisai Eisen,0.001838126452639699
Sin Yun-bok,0.0017398055642843246
Edvard Munch,0.0016218352830037475
Albrecht Altdorfer,0.001620688708499074
Winslow Homer,0.0016058010514825583
Zhang Xiaogang,0.001580351497977972
Zhao Mengfu,0.0015763911651447415
Eadweard Muybridge,0.0015762548428028822
Vincent van Gogh,0.001569088432006538
Stanford White,0.001521550235338509
Torii Kiyonaga,0.0015026978217065334
John Singer Sargent,0.0014736807206645608
Gustave Caillebotte,0.0014319593319669366
Louis Comfort Tiffany,0.001417517545633018
Jean-François Millet,0.0014018011279404163
Gustav Klimt,0.0013506371760740876
William Hogarth,0.0013489947887137532
Raphael,0.0013434335123747587
Émile Gallé,0.0012661939254030585
Hokusai,0.001263779355213046
Francisco de Zurbarán,0.001260354882106185
Childe Hassam,0.0012473567621782422
Sidney Nolan,0.0012470209039747715
Guido Reni,0.0011931589106097817
Qian Xuan,0.001176083809696138
Abraham Bloemaert,0.0011460056994110346
Odilon Redon,0.0011404575780034065
Benjamin West,0.001136929146014154
Paul Gauguin,0.0011292874114587903
Wenceslaus Hollar,0.0011208527721464634
El Lissitzky,0.0011015034979209304
Frederic Leighton,0.0010946220718324184
William Blake,0.0010803452460095286
Dong Qichang,0.0010686783352866769
Pieter Bruegel the Elder,0.0010237859096378088
Jean-Baptiste Oudry,0.0009997936431318521
Mario Testino,0.0009979993337765336
Joshua Reynolds,0.0009975996799767017
Jan van Eyck,0.0009679942158982158
Ernst Ludwig Kirchner,0.0009646648541092873
Camille Pissarro,0.0009603418875485659
Jacques-Louis David,0.0009469279902987182
Lee Jung-seob,0.000919938029255718
Wen Zhengming,0.0009179668268188834
Fra Angelico,0.0009043864556588233
George Bellows,0.0008862684480845928
Franz Marc,0.0008805823163129389
Edward Lear,0.0008767562685534358
Gilbert Stuart,0.000843262008856982
Mi Fu,0.0008220305317081511
Pierre Bonnard,0.0008156935218721628
Anna Ancher,0.000758132548071444
Tawaraya Sōtatsu,0.0007541279192082584
Sandro Botticelli,0.0007529289578087628
Rembrandt,0.000742188363801688
Marià Fortuny,0.0007182548870332539
Shinsui Itō,0.000715354923158884
Thomas Gainsborough,0.0007140309899114072
Nicolas Poussin,0.0007098194910213351
Théophile Steinlen,0.000679244112689048
Andrea Mantegna,0.0006444150931201875
Kunisada,0.0005902609555050731
René Lalique,0.0005839777295477688
Leonardo da Vinci,0.0005718821776099503
Jean-Baptiste-Siméon Chardin,0.0005623414763249457
Jacob van Ruisdael,0.000545538729056716
Arthur Streeton,0.0005440195673145354
Frederic Remington,0.0005410841549746692
Edgar Degas,0.0005215521086938679
Utamaro,0.0005049614701420069
Hubert Robert,0.0005040674586780369
William Merritt Chase,0.0004962343373335898
Emperor Huizong of Song,0.0004890167620033026
Paul Klee,0.00047196357627399266
Jan Brueghel the Elder,0.0004675612144637853
Giovanni Domenico Tiepolo,0.00045470549957826734
Anders Zorn,0.00044787913793697953
Tang Yin,0.000424673140514642
Henri de Toulouse-Lautrec,0.00042082357686012983
James Abbott McNeill Whistler,0.0004145675920881331
Lucio Fontana,0.00040133026777766645
David Teniers the Younger,0.00039780433871783316
Honoré Daumier,0.00039576448034495115
Ma Yuan,0.00038136879447847605
Titian,0.00036998389987275004
Giovanni Battista Tiepolo,0.0003500715538393706
Pierre-Auguste Renoir,0.00034883327316492796
Luca Giordano,0.0003166977840010077
Jan Steen,0.0003133755817543715
Joaquín Sorolla,0.000307340087601915
Ford Madox Brown,0.0003006418701261282
Claude Monet,0.0002924244909081608
Ilya Repin,0.0002870491298381239
Uemura Shōen,0.0002816886408254504
Giovanni Battista Piranesi,0.00027416422381065786
Diego Velázquez,0.0002668046799954027
Édouard Vuillard,0.000262213870882988
Utagawa Toyokuni,0.00025517752510495484
Paolo Veronese,0.0002530468045733869
Annibale Carracci,0.0002505372103769332
Henry Fox Talbot,0.00024904587189666927
Hans Holbein the Younger,0.0002465632278472185
Gustave Courbet,0.00024290492001455277
Guercino,0.00024139272863976657
Utagawa Kuniyoshi,0.00023925761342979968
Xu Bing,0.00023649456852581352
Francisco Goya,0.000220003625145182
Kawanabe Kyōsai,0.0002124712336808443
Mary Cassatt,0.00021111537353135645
Caravaggio,0.00020612125808838755
Édouard Manet,0.00020114822837058455
William-Adolphe Bouguereau,0.0001975689228856936
Bartolomé Esteban Murillo,0.0001971132296603173
Lewis Hine,0.00019584447727538645
John Constable,0.00019410825916565955
Tintoretto,0.00019031601550523192
Amedeo Modigliani,0.00018491553782951087
John Everett Millais,0.0001819339522626251
Clyfford Still,0.00017214732361026108
Antonio Canova,0.00016787096683401614
El Greco,0.0001647467870498076
Henri Fantin-Latour,0.000158614493557252
Mathew Brady,0.00015752366743981838
Albrecht Dürer,0.00015430862549692392
Michelangelo,0.00015371537301689386
Thomas Eakins,0.00013796229904983193
Henry Fuseli,0.0001329420629190281
Charles Le Brun,0.00013193512859288603
Frans Hals,0.00013088529522065073
Alfred Sisley,0.0001300568546866998
Eugène Delacroix,0.00012510704982560128
William Morris,0.00010983633546857163
Bronzino,0.00010328013740945607
Rogier van der Weyden,0.0001019514529616572
Gustave Moreau,0.0001004328005365096
Jusepe de Ribera,9.656206384534016e-05
Jean Auguste Dominique Ingres,9.51401743805036e-05
Thomas Rowlandson,9.138479072134942e-05
Dante Gabriel Rossetti,8.718600292922929e-05
Qi Baishi,8.596425323048607e-05
Charles-François Daubigny,8.194868132704869e-05
J. M. W. Turner,8.085203444352373e-05
Egon Schiele,7.888038089731708e-05
François Boucher,6.735634815413505e-05
Giorgio Vasari,6.585321534657851e-05
Jean-Antoine Watteau,6.113093695603311e-05
Jean-Baptiste-Camille Corot,5.0318230933044106e-05
Auguste Rodin,4.554034967441112e-05
Pietro da Cortona,4.4505279220175e-05
Gian Lorenzo Bernini,3.868196654366329e-05
Hendrick Goltzius,3.660070797195658e-05
Martin Schongauer,3.3942036679945886e-05
Eugène Boudin,3.254278635722585e-05
Peter Paul Rubens,2.8925824153702706e-05
Berthe Morisot,2.448228042339906e-05
Lovis Corinth,1.9002220142283477e-05
Paul Cézanne,1.3350209883356001e-05
Julia Margaret Cameron,1.2924025213578716e-05
Anthony van Dyck,1.2073414836777374e-05
Jacob Jordaens,8.856001841195393e-06
