,accuracy
Vincent van Gogh,3.3333333333333335
Claude Monet,0.0
Rembrandt,0.0
Raphael,0.0
Paul Cézanne,3.3333333333333335
Albrecht Dürer,0.0
Paul Gauguin,0.0
Gustav Klimt,10.0
Francisco Goya,0.0
Pierre-Auguste Renoir,0.0
Peter Paul Rubens,0.0
Auguste Rodin,0.0
Frida Kahlo,3.3333333333333335
Titian,0.0
Edgar Degas,0.0
Édouard Manet,6.666666666666667
Edvard Munch,3.3333333333333335
Diego Rivera,6.666666666666667
Eugène Delacroix,3.3333333333333335
Henri de Toulouse-Lautrec,0.0
William Blake,0.0
Paul Klee,3.3333333333333335
El Greco,0.0
Sandro Botticelli,0.0
J. M. W. Turner,0.0
Osamu Tezuka,3.3333333333333335
Gustave Courbet,0.0
Hokusai,6.666666666666667
Camille Pissarro,0.0
Giorgio Vasari,0.0
Michelangelo,0.0
Leonardo da Vinci,0.0
Egon Schiele,3.3333333333333335
JR,3.3333333333333335
Georgia O'Keeffe,3.3333333333333335
Hiroshige,0.0
Tintoretto,0.0
Anthony van Dyck,0.0
John Singer Sargent,0.0
Amedeo Modigliani,0.0
Fernando Botero,6.666666666666667
Nicolas Poussin,0.0
Paolo Veronese,0.0
Norman Rockwell,0.0
Joaquín Sorolla,0.0
Jean-Baptiste-Camille Corot,3.3333333333333335
Lucas Cranach the Elder,6.666666666666667
Utagawa Kuniyoshi,3.3333333333333335
Mary Cassatt,0.0
François Boucher,0.0
Hans Holbein the Younger,0.0
Caspar David Friedrich,3.3333333333333335
Zhao Mengfu,0.0
John Constable,0.0
Nicholas Roerich,6.666666666666667
Dante Gabriel Rossetti,0.0
Shepard Fairey,0.0
Wassily Kandinsky,0.0
Giovanni Battista Tiepolo,0.0
Ernst Ludwig Kirchner,3.3333333333333335
Honoré Daumier,0.0
Alfred Sisley,3.3333333333333335
Johannes Vermeer,0.0
Odilon Redon,6.666666666666667
William Hogarth,0.0
James Abbott McNeill Whistler,3.3333333333333335
Canaletto,0.0
Georges Seurat,3.3333333333333335
Guido Reni,0.0
Paul Signac,0.0
Pieter Bruegel the Elder,3.3333333333333335
Bartolomé Esteban Murillo,0.0
Jean-Honoré Fragonard,0.0
Jean-François Millet,0.0
Francisco de Zurbarán,0.0
Thomas Gainsborough,10.0
René Lalique,0.0
Utamaro,0.0
Yoshitoshi,10.0
Winslow Homer,6.666666666666667
Mario Testino,3.3333333333333335
Joshua Reynolds,0.0
Edward Burne-Jones,0.0
Louis Comfort Tiffany,3.3333333333333335
Annibale Carracci,0.0
Diego Velázquez,0.0
Giorgio de Chirico,0.0
Claude Lorrain,0.0
Wen Zhengming,0.0
Caravaggio,0.0
Kunisada,3.3333333333333335
Juan Gris,6.666666666666667
Eadweard Muybridge,0.0
Édouard Vuillard,6.666666666666667
Jacques-Louis David,3.3333333333333335
Berthe Morisot,0.0
Bertel Thorvaldsen,0.0
Alfred Stieglitz,3.3333333333333335
Sol LeWitt,0.0
Shitao,0.0
Victor Vasarely,0.0
Jean Auguste Dominique Ingres,0.0
Ogata Kōrin,3.3333333333333335
Eugène Atget,13.333333333333334
Eugène Boudin,0.0
Henry Fuseli,0.0
Frederic Remington,0.0
Jean-Antoine Watteau,3.3333333333333335
Gim Hongdo,3.3333333333333335
Kara Walker,3.3333333333333335
Bada Shanren,3.3333333333333335
Henri Rousseau,6.666666666666667
Albert Bierstadt,13.333333333333334
Gordon Parks,3.3333333333333335
Kenny Scharf,0.0
Luca Giordano,0.0
Chang Dai-chien,0.0
Edward Lear,0.0
Bronzino,0.0
Henry Fox Talbot,0.0
Lucio Fontana,10.0
Gian Lorenzo Bernini,0.0
L. S. Lowry,0.0
John Everett Millais,3.3333333333333335
Edward Hopper,3.3333333333333335
Giovanni Bellini,3.3333333333333335
Lovis Corinth,0.0
Fornasetti,3.3333333333333335
Franz Marc,3.3333333333333335
Tawaraya Sōtatsu,0.0
Jusepe de Ribera,0.0
Yokoyama Taikan,10.0
Peder Severin Krøyer,13.333333333333334
Emily Carr,0.0
Childe Hassam,0.0
Anders Zorn,3.3333333333333335
David Teniers the Younger,0.0
Guercino,3.3333333333333335
Gustave Moreau,3.3333333333333335
Thomas Eakins,0.0
Qiu Ying,3.3333333333333335
Alfred Eisenstaedt,6.666666666666667
Frederic Edwin Church,3.3333333333333335
Kawanabe Kyōsai,0.0
Maruyama Ōkyo,6.666666666666667
Benjamin West,0.0
Émile Gallé,0.0
Charles-François Daubigny,3.3333333333333335
Ramon Casas,0.0
Andrea Mantegna,3.3333333333333335
Dong Qichang,0.0
Jean-Baptiste-Siméon Chardin,0.0
Julia Margaret Cameron,0.0
Harunobu Suzuki,0.0
Hubert Robert,0.0
Santiago Rusiñol,0.0
Hieronymus Bosch,6.666666666666667
Hiroshi Yoshida,3.3333333333333335
Jeong Seon,0.0
Antonio Canova,3.3333333333333335
Max Klinger,3.3333333333333335
Ma Yuan,0.0
Sin Yun-bok,0.0
Marcel Broodthaers,0.0
Frederic Leighton,6.666666666666667
Utagawa Toyokuni,6.666666666666667
Zhang Xiaogang,0.0
Douglas Coupland,0.0
Lee Jung-seob,0.0
Frans Hals,0.0
Albrecht Altdorfer,3.3333333333333335
Jan van Eyck,0.0
Henri Fantin-Latour,0.0
Hendrick Goltzius,3.3333333333333335
José Guadalupe Posada,0.0
Alessandro Mendini,0.0
Qi Baishi,0.0
Pierre Bonnard,3.3333333333333335
George Stubbs,3.3333333333333335
Jacob Jordaens,0.0
Mathew Brady,0.0
George Bellows,0.0
Shinsui Itō,0.0
Uemura Shōen,0.0
Martin Schongauer,0.0
Thomas Rowlandson,0.0
Clyfford Still,3.3333333333333335
Joseph Wright of Derby,0.0
John Singleton Copley,10.0
Amrita Sher-Gil,0.0
Félix Vallotton,0.0
Yue Minjun,3.3333333333333335
Ford Madox Brown,0.0
Fra Angelico,6.666666666666667
Pietro da Cortona,0.0
Salvador Dalí,6.666666666666667
William Merritt Chase,0.0
Jan Steen,3.3333333333333335
Mi Fu,0.0
Jamini Roy,0.0
Jean-Léon Gérôme,3.3333333333333335
Itō Jakuchū,3.3333333333333335
Lewis Hine,0.0
Jacob van Ruisdael,0.0
Gustave Caillebotte,0.0
Gerhard Richter,0.0
Tang Yin,0.0
Ogata Kenzan,0.0
Ilya Repin,3.3333333333333335
Gilbert Stuart,0.0
Lorenzo Lotto,3.3333333333333335
Emperor Huizong of Song,0.0
Karl Friedrich Schinkel,6.666666666666667
Sidney Nolan,0.0
Wenceslaus Hollar,0.0
Michael Ancher,3.3333333333333335
Graciela Iturbide,0.0
Giovanni Domenico Tiepolo,0.0
George Romney,3.3333333333333335
Xu Bing,0.0
Marià Fortuny,0.0
Kobayashi Kiyochika,3.3333333333333335
Qian Xuan,0.0
William Morris,0.0
Théophile Steinlen,0.0
Giotto,3.3333333333333335
Anna Ancher,0.0
Marcantonio Raimondi,6.666666666666667
Duchenne de Boulogne,6.666666666666667
Jean-Baptiste Oudry,0.0
Johan Christian Dahl,3.3333333333333335
Rogier van der Weyden,3.3333333333333335
Giovanni Battista Piranesi,0.0
Stanford White,3.3333333333333335
August Macke,0.0
Torii Kiyonaga,6.666666666666667
Toyohara Chikanobu,0.0
William-Adolphe Bouguereau,0.0
Walker Evans,3.3333333333333335
Charles Willson Peale,3.3333333333333335
Jan Brueghel the Elder,10.0
Charles Le Brun,0.0
Arthur Streeton,0.0
Toyohara Kunichika,3.3333333333333335
Keisai Eisen,3.3333333333333335
Félicien Rops,0.0
Alvar Aalto,3.3333333333333335
El Lissitzky,3.3333333333333335
Abraham Bloemaert,3.3333333333333335
