,accuracy
Vincent van Gogh,6.666666666666667
Claude Monet,0.0
Rembrandt,0.0
Raphael,0.0
Paul Cézanne,3.3333333333333335
Albrecht Dürer,0.0
Paul Gauguin,6.666666666666667
Gustav Klimt,3.3333333333333335
Francisco Goya,0.0
Pierre-Auguste Renoir,0.0
Peter Paul Rubens,0.0
Auguste Rodin,0.0
Frida Kahlo,0.0
Titian,0.0
Edgar Degas,13.333333333333334
Édouard Manet,3.3333333333333335
Edvard Munch,6.666666666666667
Diego Rivera,0.0
Eugène Delacroix,0.0
Henri de Toulouse-Lautrec,0.0
William Blake,0.0
Paul Klee,10.0
El Greco,6.666666666666667
Sandro Botticelli,3.3333333333333335
J. M. W. Turner,0.0
Osamu Tezuka,0.0
Gustave Courbet,0.0
Hokusai,6.666666666666667
Camille Pissarro,3.3333333333333335
Giorgio Vasari,0.0
Michelangelo,3.3333333333333335
Leonardo da Vinci,3.3333333333333335
Egon Schiele,3.3333333333333335
JR,3.3333333333333335
Georgia O'Keeffe,0.0
Hiroshige,0.0
Tintoretto,0.0
Anthony van Dyck,0.0
John Singer Sargent,3.3333333333333335
Amedeo Modigliani,0.0
Fernando Botero,0.0
Nicolas Poussin,0.0
Paolo Veronese,0.0
Norman Rockwell,0.0
Joaquín Sorolla,3.3333333333333335
Jean-Baptiste-Camille Corot,0.0
Lucas Cranach the Elder,3.3333333333333335
Utagawa Kuniyoshi,3.3333333333333335
Mary Cassatt,0.0
François Boucher,0.0
Hans Holbein the Younger,0.0
Caspar David Friedrich,3.3333333333333335
Zhao Mengfu,0.0
John Constable,0.0
Nicholas Roerich,3.3333333333333335
Dante Gabriel Rossetti,3.3333333333333335
Shepard Fairey,0.0
Wassily Kandinsky,3.3333333333333335
Giovanni Battista Tiepolo,0.0
Ernst Ludwig Kirchner,6.666666666666667
Honoré Daumier,0.0
Alfred Sisley,0.0
Johannes Vermeer,0.0
Odilon Redon,6.666666666666667
William Hogarth,0.0
James Abbott McNeill Whistler,3.3333333333333335
Canaletto,3.3333333333333335
Georges Seurat,10.0
Guido Reni,0.0
Paul Signac,0.0
Pieter Bruegel the Elder,3.3333333333333335
Bartolomé Esteban Murillo,0.0
Jean-Honoré Fragonard,0.0
Jean-François Millet,0.0
Francisco de Zurbarán,0.0
Thomas Gainsborough,3.3333333333333335
René Lalique,0.0
Utamaro,0.0
Yoshitoshi,13.333333333333334
Winslow Homer,3.3333333333333335
Mario Testino,10.0
Joshua Reynolds,0.0
Edward Burne-Jones,0.0
Louis Comfort Tiffany,0.0
Annibale Carracci,0.0
Diego Velázquez,0.0
Giorgio de Chirico,3.3333333333333335
Claude Lorrain,3.3333333333333335
Wen Zhengming,0.0
Caravaggio,0.0
Kunisada,10.0
Juan Gris,6.666666666666667
Eadweard Muybridge,3.3333333333333335
Édouard Vuillard,6.666666666666667
Jacques-Louis David,0.0
Berthe Morisot,0.0
Bertel Thorvaldsen,0.0
Alfred Stieglitz,0.0
Sol LeWitt,0.0
Shitao,0.0
Victor Vasarely,3.3333333333333335
Jean Auguste Dominique Ingres,0.0
Ogata Kōrin,0.0
Eugène Atget,3.3333333333333335
Eugène Boudin,0.0
Henry Fuseli,0.0
Frederic Remington,0.0
Jean-Antoine Watteau,3.3333333333333335
Gim Hongdo,0.0
Kara Walker,0.0
Bada Shanren,0.0
Henri Rousseau,0.0
Albert Bierstadt,13.333333333333334
Gordon Parks,6.666666666666667
Kenny Scharf,0.0
Luca Giordano,0.0
Chang Dai-chien,0.0
Edward Lear,0.0
Bronzino,3.3333333333333335
Henry Fox Talbot,6.666666666666667
Lucio Fontana,0.0
Gian Lorenzo Bernini,0.0
L. S. Lowry,6.666666666666667
John Everett Millais,0.0
Edward Hopper,6.666666666666667
Giovanni Bellini,6.666666666666667
Lovis Corinth,0.0
Fornasetti,3.3333333333333335
Franz Marc,3.3333333333333335
Tawaraya Sōtatsu,0.0
Jusepe de Ribera,0.0
Yokoyama Taikan,0.0
Peder Severin Krøyer,0.0
Emily Carr,0.0
Childe Hassam,0.0
Anders Zorn,6.666666666666667
David Teniers the Younger,3.3333333333333335
Guercino,3.3333333333333335
Gustave Moreau,0.0
Thomas Eakins,3.3333333333333335
Qiu Ying,0.0
Alfred Eisenstaedt,0.0
Frederic Edwin Church,3.3333333333333335
Kawanabe Kyōsai,0.0
Maruyama Ōkyo,0.0
Benjamin West,0.0
Émile Gallé,3.3333333333333335
Charles-François Daubigny,0.0
Ramon Casas,13.333333333333334
Andrea Mantegna,3.3333333333333335
Dong Qichang,0.0
Jean-Baptiste-Siméon Chardin,0.0
Julia Margaret Cameron,0.0
Harunobu Suzuki,3.3333333333333335
Hubert Robert,0.0
Santiago Rusiñol,6.666666666666667
Hieronymus Bosch,0.0
Hiroshi Yoshida,6.666666666666667
Jeong Seon,3.3333333333333335
Antonio Canova,0.0
Max Klinger,0.0
Ma Yuan,0.0
Sin Yun-bok,3.3333333333333335
Marcel Broodthaers,0.0
Frederic Leighton,0.0
Utagawa Toyokuni,3.3333333333333335
Zhang Xiaogang,0.0
Douglas Coupland,0.0
Lee Jung-seob,0.0
