,accuracy
Vincent van Gogh,3.3333333333333335
Claude Monet,3.3333333333333335
Rembrandt,0.0
Raphael,0.0
Paul Cézanne,0.0
Albrecht Dürer,0.0
Paul Gauguin,0.0
Gustav Klimt,0.0
Francisco Goya,0.0
Pierre-Auguste Renoir,0.0
Peter Paul Rubens,0.0
Auguste Rodin,0.0
Frida Kahlo,0.0
Titian,0.0
Edgar Degas,10.0
Édouard Manet,3.3333333333333335
Edvard Munch,6.666666666666667
Diego Rivera,0.0
Eugène Delacroix,3.3333333333333335
Henri de Toulouse-Lautrec,0.0
William Blake,0.0
Paul Klee,0.0
El Greco,0.0
Sandro Botticelli,6.666666666666667
J. M. W. Turner,3.3333333333333335
Osamu Tezuka,6.666666666666667
Gustave Courbet,0.0
Hokusai,3.3333333333333335
Camille Pissarro,3.3333333333333335
Giorgio Vasari,3.3333333333333335
Michelangelo,0.0
Leonardo da Vinci,0.0
Egon Schiele,0.0
JR,6.666666666666667
Georgia O'Keeffe,3.3333333333333335
Hiroshige,0.0
Tintoretto,0.0
Anthony van Dyck,0.0
John Singer Sargent,0.0
Amedeo Modigliani,0.0
Fernando Botero,3.3333333333333335
Nicolas Poussin,3.3333333333333335
Paolo Veronese,0.0
Norman Rockwell,0.0
Joaquín Sorolla,0.0
Jean-Baptiste-Camille Corot,0.0
Lucas Cranach the Elder,6.666666666666667
Utagawa Kuniyoshi,10.0
Mary Cassatt,0.0
François Boucher,0.0
Hans Holbein the Younger,0.0
Caspar David Friedrich,6.666666666666667
Zhao Mengfu,3.3333333333333335
John Constable,3.3333333333333335
Nicholas Roerich,10.0
Dante Gabriel Rossetti,6.666666666666667
Shepard Fairey,0.0
Wassily Kandinsky,6.666666666666667
Giovanni Battista Tiepolo,3.3333333333333335
Ernst Ludwig Kirchner,0.0
Honoré Daumier,0.0
Alfred Sisley,0.0
Johannes Vermeer,3.3333333333333335
Odilon Redon,6.666666666666667
William Hogarth,3.3333333333333335
James Abbott McNeill Whistler,0.0
Canaletto,3.3333333333333335
Georges Seurat,0.0
Guido Reni,0.0
Paul Signac,3.3333333333333335
Pieter Bruegel the Elder,6.666666666666667
Bartolomé Esteban Murillo,0.0
Jean-Honoré Fragonard,0.0
Jean-François Millet,0.0
Francisco de Zurbarán,3.3333333333333335
Thomas Gainsborough,3.3333333333333335
René Lalique,3.3333333333333335
Utamaro,0.0
Yoshitoshi,3.3333333333333335
Winslow Homer,0.0
Mario Testino,0.0
Joshua Reynolds,0.0
Edward Burne-Jones,3.3333333333333335
Louis Comfort Tiffany,3.3333333333333335
Annibale Carracci,0.0
Diego Velázquez,0.0
Giorgio de Chirico,0.0
Claude Lorrain,10.0
Wen Zhengming,6.666666666666667
Caravaggio,0.0
Kunisada,0.0
Juan Gris,10.0
Eadweard Muybridge,0.0
Édouard Vuillard,3.3333333333333335
Jacques-Louis David,0.0
Berthe Morisot,3.3333333333333335
Bertel Thorvaldsen,3.3333333333333335
Alfred Stieglitz,10.0
Sol LeWitt,0.0
Shitao,0.0
