,accuracy
WLOP,0.0
Dao Trong Le,0.0
Zeronis,0.0
Chengwei Pan,0.0
Wenjun Lin,3.3333333333333335
Grafit Studio,0.0
Sylvain Sarrailh,16.666666666666664
Greg Rutkowski,0.0
Bayard Wu,0.0
Bo Chen,0.0
Tooth Wu,0.0
Anato Finnstark,0.0
Qi Sheng Luo,0.0
Raf Grassetti,0.0
sparth,3.3333333333333335
Hicham Habchi,3.3333333333333335
Zhelong Xu,3.3333333333333335
Anthony Chong Jones,0.0
Rudy Siswanto,6.666666666666667
Nurzhan Bekkaliyev,0.0
Jama Jurabaev,0.0
Evan Lee,0.0
Anatomy For Sculptors,0.0
Christophe Young,3.3333333333333335
Eytan Zana,0.0
Darek Zabrocki,0.0
Jakub Rozalski,3.3333333333333335
Maria Panfilova,0.0
Hou China,6.666666666666667
Ismail Inceoglu,0.0
Andreas Rocha,0.0
Johnson Ting,0.0
Ching Yeh,0.0
Paul Chadeisson,0.0
Igor Sid,0.0
Jonas Ronnegard,0.0
Nivanh Chanthara,0.0
Thomas Chamberlain-Keen,0.0
Steve Zheng,0.0
Hue Teo,0.0
Mauro Belfiore,0.0
Raphael Lacoste,3.3333333333333335
Dave Greco,0.0
Dominik Mayer,0.0
Tyler Smith,0.0
Alena Aenami,0.0
Anna Podedworna,0.0
Hua Lu,0.0
Eddie Mendoza,0.0
Erak note,0.0
Jessica Oyhenart,0.0
Vitaly Bulgarov,0.0
Romain Jouandeau,0.0
florent lebrun,0.0
richard anderson. flaptraps art studio,3.3333333333333335
Sin jong hun,0.0
Victor Titov,0.0
Marco Plouffe (Keos Masons),0.0
Martin Deschambault,0.0
SIXMOREVODKA STUDIO,0.0
Jason Scheier,0.0
Brian Sum,0.0
Lorenzo Lanfranconi,0.0
Oleg Vdovenko,0.0
Siwoo Kim,0.0
Wadim Kashin,3.3333333333333335
Anton Fadeev,10.0
Sebastian Luca,0.0
keita okada,0.0
Russell Dongjun Lu,0.0
Matt Rhodes,3.3333333333333335
seunghee lee,0.0
kleinerHai,0.0
Wangjie Li,0.0
Igor Artyomenko,0.0
Valentina Remenar,0.0
LiXin Yin,0.0
Entei Ryu,0.0
Finnian MacManus,6.666666666666667
Grace Liu,0.0
Justin Gerard,0.0
Richard Wright,0.0
Darren Bartley - fightPUNCH,0.0
BASTIEN LECOUFFE DEHARME,0.0
Yuhong Ding,0.0
Amir Zand,0.0
Gabriel Soares,0.0
adrian smith,13.333333333333334
Kael Ngu,0.0
Gui Guimaraes,0.0
John Wallin Liberto,0.0
Pengzhen Zhang,0.0
beeple,0.0
Qiu Fang,0.0
Daniel Thiger,0.0
Antonio J. Manzanedo,3.3333333333333335
Bach Do,0.0
Tea Me,0.0
Naranbaatar Ganbold,0.0
Ina Wong,0.0
Jakub Rebelka,0.0
giorgio baroni,0.0
Ivan Laliashvili,0.0
Andrew Averkin,0.0
Michal Kus,0.0
Donglu Yu,0.0
Yintion J - Jiang Geping,0.0
Quentin Mabille,0.0
Bastien Grivet,5.0
lius lasahido,0.0
Alexandre Chaudret,0.0
DOFRESH .,0.0
Alexander Mandradjiev,0.0
mike franchina,0.0
Maxim Verehin,7.142857142857142
Huang Fan,0.0
Max Bedulenko,5.263157894736842
Mandy Jurgens,0.0
Qifeng Lin,0.0
Dylan Kowalski,0.0
Jeff Simpson,0.0
Khyzyl Saleem,0.0
Song Nan Li,0.0
Leon Tukker,0.0
Airborn Studios,15.789473684210526
Maarten Verhoeven,0.0
Riccardo Federici,0.0
ibrahem swaid,0.0
Zeen Chin,3.3333333333333335
Ruan Jia,16.666666666666664
Krenz Cushart,0.0
Z.W. Gu,3.3333333333333335
TB Choi,0.0
sakimi chan,10.714285714285714
Kyoung Hwan Kim,0.0
yang qi917,0.0
Ilya Kuvshinov,3.571428571428571
InHyuk Lee,0.0
Sangsoo Jeong,0.0
Rui Li,0.0
wonbin lee,0.0
G liulian,0.0
Sergey Kolesov,7.142857142857142
su jian,0.0
Yun Ling,0.0
lovecacao,3.3333333333333335
Alex Flores,0.0
Sean Tay,6.666666666666667
Hong SoonSang,0.0
Nesskain HKS,6.896551724137931
Wojtek Fus,3.3333333333333335
Jennifer Wuestling,0.0
WenXu Xu,3.3333333333333335
Alexis Rives,3.3333333333333335
Citemer Liu,0.0
M4 Miv4t,0.0
Nicholas Kole,0.0
Yizheng Ke,0.0
Taejune Kim,0.0
TaeKwon Kim,0.0
Joon Ahn,0.0
Will Murai,0.0
Jeehyung Lee,6.666666666666667
J.Won Han,0.0
Alejandro Burdisio,6.666666666666667
Daeho Cha,0.0
Huang Guangjian,0.0
Insist,0.0
KyuYong Eom,0.0
Fenghua Zhong,3.3333333333333335
hyeonsick choi (aruana sick),0.0
CrazyJN,0.0
Jason Chan,0.0
Pablo Dominguez,0.0
mist XG,3.3333333333333335
Peter Mohrbacher,3.3333333333333335
Amber Ye,0.0
Satoshi Matsuura,0.0
Johannes Helgeson,3.3333333333333335
Liang xing ( Jason Liang ),20.0
Cedric Peyravernay,0.0
Stepan Alekseev,0.0
Tan Zhi Hui,0.0
STAR CG,6.666666666666667
terry wei,0.0
Xiaoyu Wang,6.666666666666667
zhihui Su,0.0
Chun Lo,0.0
Paperblue,0.0
_Z eD_,3.3333333333333335
Artem Chebokha,0.0
Toraji,0.0
Xu Tianhua,0.0
Vyacheslav Safronov,0.0
Mirco Cabbia (Sciamano240),0.0
Irakli Nadar,0.0
Hossein Diba,0.0
sang delan,0.0
Serge Birault,0.0
Alex Konstad,0.0
lok du,0.0
Xi Zhang,0.0
Olya Anufrieva,0.0
Nikolai Lockertsen,0.0
Faraz Shanyar,0.0
Ruxing Gao,0.0
Rinotuna,3.3333333333333335
Mam BA,0.0
MWARTOVA,0.0
Seung Eun Kim,0.0
Aleriia_V (lerapi),3.3333333333333335
Bo Xun Lin,0.0
Baldi Konijn,0.0
Ya lun,0.0
Swang .,0.0
Sung Choi,0.0
Nick Gindraux,0.0
Gop Gap,0.0
BangkuART,0.0
Michal Lisowski,3.3333333333333335
Pablo Carpio,0.0
Liang Mark,0.0
Nicola Saviori,0.0
Kittew,0.0
Rostyslav Zagornov,0.0
Slawek Fedorczuk,0.0
JiHun Lee,0.0
Hui Zou,0.0
jungmin jin /dospi,0.0
Jeremy chong,0.0
Zumi Draws,0.0
Peter Xiao,3.3333333333333335
c home,0.0
Betty Jiang,0.0
Ren Wei Pan,0.0
Jesper Ejsing,0.0
Aoi Ogata,0.0
Chocofing R,0.0
JC Jongwon Park,0.0
Mikhail Rakhmatullin,0.0
Aleksandr Nikonov,0.0
YU YIMING,0.0
Samuel Smith,0.0
Ian Spriggs,3.3333333333333335
Lin Chang,0.0
John Grello,0.0
N I X E U,0.0
