,accuracy
Vincent van Gogh,0.0
Claude Monet,0.0
Rembrandt,0.0
Raphael,0.0
Paul Cézanne,20.0
Albrecht Dürer,0.0
Paul Gauguin,0.0
Gustav Klimt,0.0
Francisco Goya,0.0
Pierre-Auguste Renoir,0.0
Peter Paul Rubens,0.0
Auguste Rodin,0.0
Frida Kahlo,0.0
Titian,0.0
Edgar Degas,0.0
Édouard Manet,0.0
Edvard Munch,0.0
Diego Rivera,0.0
Eugène Delacroix,0.0
Henri de Toulouse-Lautrec,0.0
William Blake,0.0
Paul Klee,0.0
El Greco,0.0
Sandro Botticelli,0.0
J. M. W. Turner,0.0
Osamu Tezuka,50.0
Gustave Courbet,0.0
Hokusai,0.0
Camille Pissarro,0.0
Giorgio Vasari,0.0
Michelangelo,0.0
Leonardo da Vinci,20.0
Egon Schiele,0.0
JR,0.0
Georgia O'Keeffe,0.0
Hiroshige,0.0
Tintoretto,0.0
Anthony van Dyck,0.0
John Singer Sargent,0.0
Amedeo Modigliani,0.0
Fernando Botero,0.0
Nicolas Poussin,20.0
Paolo Veronese,0.0
Norman Rockwell,0.0
Joaquín Sorolla,0.0
Jean-Baptiste-Camille Corot,20.0
Lucas Cranach the Elder,0.0
Utagawa Kuniyoshi,0.0
Mary Cassatt,0.0
François Boucher,0.0
Hans Holbein the Younger,0.0
Caspar David Friedrich,0.0
Zhao Mengfu,0.0
John Constable,0.0
Nicholas Roerich,0.0
Dante Gabriel Rossetti,0.0
Shepard Fairey,0.0
Wassily Kandinsky,0.0
Giovanni Battista Tiepolo,0.0
Ernst Ludwig Kirchner,0.0
Honoré Daumier,0.0
Alfred Sisley,20.0
Johannes Vermeer,0.0
Odilon Redon,0.0
William Hogarth,20.0
James Abbott McNeill Whistler,0.0
Canaletto,0.0
Georges Seurat,0.0
Guido Reni,20.0
Paul Signac,0.0
Pieter Bruegel the Elder,0.0
Bartolomé Esteban Murillo,0.0
Jean-Honoré Fragonard,20.0
Jean-François Millet,0.0
Francisco de Zurbarán,0.0
Thomas Gainsborough,0.0
René Lalique,0.0
Utamaro,0.0
Yoshitoshi,20.0
Winslow Homer,0.0
Mario Testino,0.0
Joshua Reynolds,0.0
Edward Burne-Jones,0.0
Louis Comfort Tiffany,0.0
Annibale Carracci,20.0
Diego Velázquez,20.0
Giorgio de Chirico,0.0
Claude Lorrain,0.0
Wen Zhengming,50.0
Caravaggio,0.0
Kunisada,0.0
Juan Gris,0.0
Eadweard Muybridge,0.0
Édouard Vuillard,0.0
Jacques-Louis David,0.0
Berthe Morisot,20.0
Bertel Thorvaldsen,0.0
Alfred Stieglitz,0.0
Sol LeWitt,0.0
Shitao,0.0
Victor Vasarely,0.0
Jean Auguste Dominique Ingres,0.0
Ogata Kōrin,0.0
Eugène Atget,0.0
Eugène Boudin,0.0
Henry Fuseli,0.0
Frederic Remington,0.0
Jean-Antoine Watteau,0.0
Gim Hongdo,0.0
Kara Walker,20.0
Bada Shanren,0.0
Henri Rousseau,0.0
Albert Bierstadt,0.0
Gordon Parks,0.0
Kenny Scharf,0.0
Luca Giordano,25.0
Chang Dai-chien,0.0
Edward Lear,0.0
Bronzino,0.0
Henry Fox Talbot,20.0
Lucio Fontana,20.0
Gian Lorenzo Bernini,0.0
L. S. Lowry,0.0
John Everett Millais,0.0
Edward Hopper,0.0
Giovanni Bellini,0.0
Lovis Corinth,0.0
Fornasetti,0.0
Franz Marc,0.0
Tawaraya Sōtatsu,25.0
Jusepe de Ribera,0.0
Yokoyama Taikan,0.0
Peder Severin Krøyer,0.0
Emily Carr,0.0
Childe Hassam,0.0
Anders Zorn,0.0
David Teniers the Younger,0.0
Guercino,0.0
Gustave Moreau,0.0
Thomas Eakins,0.0
Qiu Ying,0.0
Alfred Eisenstaedt,0.0
Frederic Edwin Church,0.0
Kawanabe Kyōsai,0.0
Maruyama Ōkyo,0.0
Benjamin West,20.0
Émile Gallé,33.33333333333333
Charles-François Daubigny,0.0
Ramon Casas,0.0
Andrea Mantegna,20.0
Dong Qichang,0.0
Jean-Baptiste-Siméon Chardin,0.0
Julia Margaret Cameron,0.0
Harunobu Suzuki,0.0
Hubert Robert,0.0
Santiago Rusiñol,0.0
Hieronymus Bosch,20.0
Hiroshi Yoshida,20.0
Jeong Seon,0.0
Antonio Canova,0.0
Max Klinger,0.0
Ma Yuan,0.0
Sin Yun-bok,0.0
Marcel Broodthaers,0.0
Frederic Leighton,0.0
Utagawa Toyokuni,25.0
Zhang Xiaogang,0.0
Douglas Coupland,0.0
Lee Jung-seob,0.0
Frans Hals,0.0
Albrecht Altdorfer,20.0
Jan van Eyck,0.0
Henri Fantin-Latour,0.0
Hendrick Goltzius,0.0
José Guadalupe Posada,0.0
Alessandro Mendini,0.0
Qi Baishi,0.0
Pierre Bonnard,20.0
George Stubbs,0.0
Jacob Jordaens,0.0
Mathew Brady,25.0
George Bellows,0.0
Shinsui Itō,0.0
Uemura Shōen,20.0
Martin Schongauer,0.0
Thomas Rowlandson,0.0
Clyfford Still,0.0
Joseph Wright of Derby,0.0
John Singleton Copley,0.0
Amrita Sher-Gil,0.0
Félix Vallotton,0.0
Yue Minjun,0.0
Ford Madox Brown,0.0
Fra Angelico,0.0
Pietro da Cortona,0.0
Salvador Dalí,0.0
William Merritt Chase,0.0
Jan Steen,0.0
Mi Fu,0.0
Jamini Roy,0.0
Jean-Léon Gérôme,0.0
Itō Jakuchū,25.0
Lewis Hine,0.0
Jacob van Ruisdael,20.0
Gustave Caillebotte,0.0
Gerhard Richter,0.0
Tang Yin,0.0
Ogata Kenzan,25.0
Ilya Repin,0.0
Gilbert Stuart,0.0
Lorenzo Lotto,20.0
Emperor Huizong of Song,0.0
Karl Friedrich Schinkel,0.0
Sidney Nolan,0.0
Wenceslaus Hollar,0.0
Michael Ancher,0.0
Graciela Iturbide,0.0
Giovanni Domenico Tiepolo,0.0
George Romney,0.0
Xu Bing,0.0
Marià Fortuny,0.0
Kobayashi Kiyochika,0.0
Qian Xuan,0.0
William Morris,0.0
Théophile Steinlen,0.0
Giotto,0.0
Anna Ancher,0.0
Marcantonio Raimondi,33.33333333333333
Duchenne de Boulogne,0.0
Jean-Baptiste Oudry,0.0
Johan Christian Dahl,0.0
Rogier van der Weyden,0.0
Giovanni Battista Piranesi,0.0
Stanford White,0.0
August Macke,0.0
Torii Kiyonaga,0.0
Toyohara Chikanobu,0.0
William-Adolphe Bouguereau,0.0
Walker Evans,0.0
Charles Willson Peale,20.0
Jan Brueghel the Elder,0.0
Charles Le Brun,0.0
Arthur Streeton,0.0
Toyohara Kunichika,0.0
Keisai Eisen,0.0
Félicien Rops,0.0
Alvar Aalto,0.0
El Lissitzky,0.0
Abraham Bloemaert,40.0
